,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
0,0,기흥ICT밸리 A동 전기차충전소,경기 용인시 기흥구 기흥로 58-1,12,9,1,12,0,0,0,0,0,0,0,0,1,1,0,0,127.1193559,37.28002299
3,3,이케아 기흥점 전기차충전소,경기 용인시 기흥구 신고매로 62 P1주차장,7,24,1,8,0,0,0,0,0,0,0,0,0,0,0,0,127.1161827,37.22262615
4,4,모현면사무소 전기차충전소,경기 용인시 처인구 모현읍 독점로 31-6,0,24,1,1,0,0,0,0,1,1,0,0,0,0,0,0,127.2423619,37.32953302
5,5,고영테크놀러지 RnD센터 전기차충전소,경기 용인시 수지구 포은대로59번길 18,10,9,1,13,0,0,0,0,0,0,0,0,0,0,0,0,127.066816,37.30118445
6,6,용인시 여성회관 주차장 전기차충전소,경기 용인시 수지구 문정로7번길 7 지하1층,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,127.0961545,37.32103261
7,7,에버랜드 셔틀버스 승강장 전기차충전소,경기 용인시 처인구 포곡읍 전대리 210-8,0,24,1,8,0,0,0,0,0,3.2,0,1.6,1.6,1.6,0,0,127.2200928,37.2870218
8,8,용인시 서그내마을SK뷰아파트 전기차충전소,경기 용인시 기흥구 예현로 15,5,24,1,5,1,1,0,0,1,1,1,0,2,2,0,0,127.0730358,37.24440584
9,9,상현마을쌍용2차아파트 전기차충전소,경기 용인시 수지구 상현로 30-6,9,24,1,9,1.285714286,1.285714286,1.285714286,1.285714286,1.285714286,0,0,0,0,0,2.571428571,2.571428571,127.0772345,37.3018802
11,11,성동마을수지자이1차아파트1 전기차충전소,경기 용인시 수지구 성복2로 174,3,24,1,3,1,0,0,0,1,0,0,0,0,0,0,1,127.0689812,37.32150244
12,12,효성빌라 전기차충전소,경기 용인시 기흥구 언남로29번길 40,3,24,1,3,2,2,2,1,0,0,0,0,0,0,1,1,127.13033,37.29665926
14,14,상현마을성원상떼빌3차아파트 전기차충전소,경기 용인시 수지구 상현로 30-10,11,24,1,16,8,8,8,6,0,0,2,2,1,1,6,7,127.077,37.30053817
15,15,기아차 오산교육센터 전기차충전소,경기 용인시 처인구 남사읍 처인성로 57,0,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,127.1379363,37.11097501
17,17,죽전휴게소(서울방향) 전기차충전소,경기 용인시 수지구 경부고속도로 400,0,24,1,4,1,2,0,1,2,4,1,3,2,2,2,0,127.1048554,37.33259222
