,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd,car_coverage,countcust_coverage
0,0,0,0,기흥ICT밸리 A동 전기차충전소,경기 용인시 기흥구 기흥로 58-1,12,9,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,127.1193559,37.28002299,15.921313409513697,5140.428230543076
1,1,3,3,이케아 기흥점 전기차충전소,경기 용인시 기흥구 신고매로 62 P1주차장,7,24,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1161827,37.22262615,10.577481573102526,3415.0941877656423
2,2,4,4,모현면사무소 전기차충전소,경기 용인시 처인구 모현읍 독점로 31-6,0,24,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,127.2423619,37.32953302,4.040010323059993,1304.3762522715997
3,3,5,5,고영테크놀러지 RnD센터 전기차충전소,경기 용인시 수지구 포은대로59번길 18,10,9,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.066816,37.30118445,17.188407556291605,5549.528055119169
4,4,6,6,용인시 여성회관 주차장 전기차충전소,경기 용인시 수지구 문정로7번길 7 지하1층,0,24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0961545,37.32103261,2.681097759848904,865.6315128711524
5,5,7,7,에버랜드 셔틀버스 승강장 전기차충전소,경기 용인시 처인구 포곡읍 전대리 210-8,0,24,1,8,0.0,0.0,0.0,0.0,0.0,3.2,0.0,1.6,1.6,1.6,0.0,0.0,127.2200928,37.2870218,21.448782078791233,6925.052102969219
6,9,12,12,효성빌라 전기차충전소,경기 용인시 기흥구 언남로29번길 40,3,24,1,3,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,127.13033,37.29665926,6.280379684029624,2027.71217398585
7,11,15,15,기아차 오산교육센터 전기차충전소,경기 용인시 처인구 남사읍 처인성로 57,0,24,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1379363,37.11097501,3.966555589913447,1280.6603204121159
8,12,17,17,죽전휴게소(서울방향) 전기차충전소,경기 용인시 수지구 경부고속도로 400,0,24,1,4,1.0,2.0,0.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,0.0,127.1048554,37.33259222,32.46699205077304,10482.441881891766
9,13,18,18,에버랜드 홈브리지 캐빈호스텔 전기차충전소,경기 용인시 처인구 포곡읍 에버랜드로 199,0,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.202128,37.2940667,1.3221851966378158,426.8867734707053
